URL,label
https://www.plasticfreejuly.org,0
https://provi78arge.webcindario.com/,1
https://www.roseyleebooks.com,0
https://att-106905.weeblysite.com/,1
https://tinyurl.com/blocca-pagamento,1
https://www.rogueguitarshop.com,0
https://www.auvernix.org,0
https://www.superdumbsupervillain.com,0
http://www.karnalbreakingnews.com,1
https://www.mfyi.com,0
https://bisabs.jimdosite.com/,1
http://43.134.163.95/v3/signin/identifier?dsh=s1728085605:1679498425538369&amp;followup=https://accounts.google.com/?&amp;ifkv=awnoghfr8cftdpd-aovcioqrgholqfawmkccv2iwpa5jlcb0mu-chorjltx3offo1hrax3byxiwa5w&amp;passive=1209600&amp;xrealip=193.226.177.45&amp;continue=https://accounts.google.com/?&amp;xrealip=217.138.252.52&amp;flowname=glifwebsignin&amp;flowentry=servicelogin&amp;ifkv=aqmjq7r4qy88acts0x1avn9qyz5qs-x0upa_d1jwxicfs4xt-uvmp_2ofzr7a5dyw45s6f6sug9flw,1
https://www.dombauwien.at,0
https://www.americasbride.us,0
https://www.bayernforum.com,0
http://www.odinix.eu,1
https://www.clearcenter.com,0
https://www.aaj.tv,0
https://www.americanmusical.com,0
https://www.montrealmirror.com,0
http://www.elatadesan.ml,1
http://www.wendyk.cf,1
https://www.euractiv.com,0
https://e6c7c992-6db5-4e77-bb61-d737e66946af.id.repl.co/,1
http://www.roadwide.net,1
https://www.little-raven.com,0
https://www.neildiamond.com,0
https://www.roadsafetysweden.com,0
https://www.nagefederal.org,0
http://www.eyebrowandme.com,1
https://www.notebymichelle.com,0
http://dytwrgpqlt.duckdns.org,1
https://www.aquariusgolfclub.co.uk,0
https://outlook349.yolasite.com/,1
https://www.niva.no,0
https://www.afrik21.africa,0
https://www.blackheath.org,0
http://bafybeicyk3cahn44vaxcajh7lpj7fku22y46smm5jjygwbw2gw2armkhh4.ipfs.dweb.link/,1
https://www.couponsonfire.com/wp-content/themes/it/intesa,1
http://www.olloo-news.com,1
http://www.smeemail.com,1
https://www.acewallet.finance,0
https://www.maitre-eolas.fr,0
https://www.caregiverlist.com,0
http://www.test.38abc.ru,1
https://www.sweetwrappings.com,0
https://www.woolet.co,0
https://ebanking-ch3-ubs-a3ab0.firebaseapp.com/login.html?session=nwbd4caapdfabqrfzyixppfxawj8ps8skocxikafvcglvyzllcgfkzo18xh0fxlddskv4tc9hmzun0ykhsm6mlqzqclr6te0g8&auth=1fe9afb6-b75f-4157-8476-dfed04558d8a,1
https://www.aseantoday.com,0
http://www.nationalrealtyonline.com,1
https://www.heatherleys.org,0
https://www.islhd.health.nsw.gov.au,0
https://bt-106022.square.site/,1
https://www.prenajomkaravanov.sk,0
https://mitld-bruger-id.firebaseapp.com/,1
http://withdrawalverification.com/,1
https://www.faktysmolensk.niezniknelo.com,0
http://www.gw966.com,1
https://ipfs.io/ipfs/qmqporseaefsnzvkayaxdbjoepecyyyhzc7snfnodowa8p,1
https://gateway.pinata.cloud/ipfs/bafybeie5phy2phskg4vmishine6yjw6pga7mj3fdmnlqmrrgkicabmlyy4,1
